anio,departamento,tamanio,n_empresas,n_nacimientos,n_muertes,alfabetismo,accesos_a_estudios_terciarios,anios_de_educacion_promedio,promocion_educacion_media_cb,pobreza,informalidad,desempleo_en_jovenes,gini,acceso_a_internet,ingresos_de_los_hogares,tasa_de_desempleo,porcentaje_de_personal_presupuestado_en_la_intendencia,part_act_econ
2008,artigas,grandes,1,0,0,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,artigas,medianas,26,0,3,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,artigas,micro,1353,0,178,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,artigas,pequeñas,233,0,7,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,canelones,grandes,37,0,2,0.91,0.22,0.274,0.44,0.684,0.455,0.662,0.432,0.169,0.355,0.63,0.347,9.3
2008,canelones,medianas,322,0,12,0.91,0.22,0.274,0.44,0.684,0.455,0.662,0.432,0.169,0.355,0.63,0.347,9.3
2008,canelones,micro,9279,0,1201,0.91,0.22,0.274,0.44,0.684,0.455,0.662,0.432,0.169,0.355,0.63,0.347,9.3
2008,canelones,pequeñas,1849,0,75,0.91,0.22,0.274,0.44,0.684,0.455,0.662,0.432,0.169,0.355,0.63,0.347,9.3
2008,cerro largo,grandes,6,0,0,0.838,0.155,0.194,0.547,0.484,0.235,0.539,0.385,0.062,0.223,0.689,0.279,1.9
2008,cerro largo,medianas,39,0,3,0.838,0.155,0.194,0.547,0.484,0.235,0.539,0.385,0.062,0.223,0.689,0.279,1.9
2008,cerro largo,micro,1535,0,199,0.838,0.155,0.194,0.547,0.484,0.235,0.539,0.385,0.062,0.223,0.689,0.279,1.9
2008,cerro largo,pequeñas,275,0,9,0.838,0.155,0.194,0.547,0.484,0.235,0.539,0.385,0.062,0.223,0.689,0.279,1.9
2008,colonia,grandes,14,0,0,0.919,0.091,0.223,0.641,0.695,0.479,0.616,0.455,0.121,0.376,0.795,0.272,5
2008,colonia,medianas,115,0,1,0.919,0.091,0.223,0.641,0.695,0.479,0.616,0.455,0.121,0.376,0.795,0.272,5
2008,colonia,micro,3563,0,321,0.919,0.091,0.223,0.641,0.695,0.479,0.616,0.455,0.121,0.376,0.795,0.272,5
2008,colonia,pequeñas,750,0,26,0.919,0.091,0.223,0.641,0.695,0.479,0.616,0.455,0.121,0.376,0.795,0.272,5
2008,durazno,grandes,2,0,0,0.832,0.095,0.183,0.462,0.497,0.415,0.643,0.479,0.076,0.216,0.739,0.345,1.3
2008,durazno,medianas,33,0,1,0.832,0.095,0.183,0.462,0.497,0.415,0.643,0.479,0.076,0.216,0.739,0.345,1.3
2008,durazno,micro,1402,0,170,0.832,0.095,0.183,0.462,0.497,0.415,0.643,0.479,0.076,0.216,0.739,0.345,1.3
2008,durazno,pequeñas,215,0,10,0.832,0.095,0.183,0.462,0.497,0.415,0.643,0.479,0.076,0.216,0.739,0.345,1.3
2008,flores,grandes,5,0,0,0.889,0.106,0.215,0.501,0.759,0.45,0.648,0.539,0.107,0.364,0.733,0.183,0.8
2008,flores,medianas,11,0,0,0.889,0.106,0.215,0.501,0.759,0.45,0.648,0.539,0.107,0.364,0.733,0.183,0.8
2008,flores,micro,893,0,94,0.889,0.106,0.215,0.501,0.759,0.45,0.648,0.539,0.107,0.364,0.733,0.183,0.8
2008,flores,pequeñas,115,0,7,0.889,0.106,0.215,0.501,0.759,0.45,0.648,0.539,0.107,0.364,0.733,0.183,0.8
2008,florida,grandes,4,0,0,0.869,0.127,0.185,0.586,0.532,0.41,0.886,0.516,0.078,0.329,0.557,0.437,2
2008,florida,medianas,56,0,3,0.869,0.127,0.185,0.586,0.532,0.41,0.886,0.516,0.078,0.329,0.557,0.437,2
2008,florida,micro,2038,0,220,0.869,0.127,0.185,0.586,0.532,0.41,0.886,0.516,0.078,0.329,0.557,0.437,2
2008,florida,pequeñas,317,0,6,0.869,0.127,0.185,0.586,0.532,0.41,0.886,0.516,0.078,0.329,0.557,0.437,2
2008,lavalleja,grandes,6,0,0,0.904,0.162,0.2,0.405,0.7,0.488,0.48,0.546,0.072,0.269,0.704,0.329,1.7
2008,lavalleja,medianas,39,0,1,0.904,0.162,0.2,0.405,0.7,0.488,0.48,0.546,0.072,0.269,0.704,0.329,1.7
2008,lavalleja,micro,1700,0,265,0.904,0.162,0.2,0.405,0.7,0.488,0.48,0.546,0.072,0.269,0.704,0.329,1.7
2008,lavalleja,pequeñas,256,0,18,0.904,0.162,0.2,0.405,0.7,0.488,0.48,0.546,0.072,0.269,0.704,0.329,1.7
2008,maldonado,grandes,19,0,0,0.91,0.086,0.214,0.501,0.811,0.513,0.705,0.576,0.135,0.371,0.678,0.337,5.2
2008,maldonado,medianas,231,0,10,0.91,0.086,0.214,0.501,0.811,0.513,0.705,0.576,0.135,0.371,0.678,0.337,5.2
2008,maldonado,micro,6138,0,795,0.91,0.086,0.214,0.501,0.811,0.513,0.705,0.576,0.135,0.371,0.678,0.337,5.2
2008,maldonado,pequeñas,1361,0,80,0.91,0.086,0.214,0.501,0.811,0.513,0.705,0.576,0.135,0.371,0.678,0.337,5.2
2008,montevideo,grandes,531,0,5,0.938,0.585,0.501,0.265,0.546,0.573,0.654,0.288,0.265,0.79,0.657,0.71,49.8
2008,montevideo,medianas,2777,0,52,0.938,0.585,0.501,0.265,0.546,0.573,0.654,0.288,0.265,0.79,0.657,0.71,49.8
2008,montevideo,micro,54371,0,6252,0.938,0.585,0.501,0.265,0.546,0.573,0.654,0.288,0.265,0.79,0.657,0.71,49.8
2008,montevideo,pequeñas,12510,0,476,0.938,0.585,0.501,0.265,0.546,0.573,0.654,0.288,0.265,0.79,0.657,0.71,49.8
2008,paysandu,grandes,13,0,0,0.926,0.164,0.241,0.524,0.564,0.479,0.51,0.395,0.096,0.262,0.628,0.365,2.8
2008,paysandu,medianas,90,0,0,0.926,0.164,0.241,0.524,0.564,0.479,0.51,0.395,0.096,0.262,0.628,0.365,2.8
2008,paysandu,micro,2268,0,243,0.926,0.164,0.241,0.524,0.564,0.479,0.51,0.395,0.096,0.262,0.628,0.365,2.8
2008,paysandu,pequeñas,580,0,25,0.926,0.164,0.241,0.524,0.564,0.479,0.51,0.395,0.096,0.262,0.628,0.365,2.8
2008,rio negro,grandes,4,0,0,0.877,0.137,0.234,0.538,0.606,0.503,0.734,0.415,0.126,0.342,0.446,0.395,3.2
2008,rio negro,medianas,26,0,3,0.877,0.137,0.234,0.538,0.606,0.503,0.734,0.415,0.126,0.342,0.446,0.395,3.2
2008,rio negro,micro,1395,0,194,0.877,0.137,0.234,0.538,0.606,0.503,0.734,0.415,0.126,0.342,0.446,0.395,3.2
2008,rio negro,pequeñas,266,0,22,0.877,0.137,0.234,0.538,0.606,0.503,0.734,0.415,0.126,0.342,0.446,0.395,3.2
2008,rivera,grandes,5,0,0,0.758,0.069,0.141,0.384,0.374,0.148,0.707,0.492,0.044,0.127,0.555,0.295,2.1
2008,rivera,medianas,51,0,3,0.758,0.069,0.141,0.384,0.374,0.148,0.707,0.492,0.044,0.127,0.555,0.295,2.1
2008,rivera,micro,1939,0,282,0.758,0.069,0.141,0.384,0.374,0.148,0.707,0.492,0.044,0.127,0.555,0.295,2.1
2008,rivera,pequeñas,343,0,19,0.758,0.069,0.141,0.384,0.374,0.148,0.707,0.492,0.044,0.127,0.555,0.295,2.1
2008,rocha,grandes,2,0,0,0.897,0.161,0.241,0.441,0.635,0.42,0.605,0.465,0.088,0.325,0.578,0.094,1.8
2008,rocha,medianas,39,0,0,0.897,0.161,0.241,0.441,0.635,0.42,0.605,0.465,0.088,0.325,0.578,0.094,1.8
2008,rocha,micro,2254,0,280,0.897,0.161,0.241,0.441,0.635,0.42,0.605,0.465,0.088,0.325,0.578,0.094,1.8
2008,rocha,pequeñas,356,0,35,0.897,0.161,0.241,0.441,0.635,0.42,0.605,0.465,0.088,0.325,0.578,0.094,1.8
2008,salto,grandes,11,0,0,0.856,0.18,0.233,0.526,0.516,0.39,0.697,0.425,0.086,0.204,0.73,0.282,2.8
2008,salto,medianas,84,0,1,0.856,0.18,0.233,0.526,0.516,0.39,0.697,0.425,0.086,0.204,0.73,0.282,2.8
2008,salto,micro,2163,0,273,0.856,0.18,0.233,0.526,0.516,0.39,0.697,0.425,0.086,0.204,0.73,0.282,2.8
2008,salto,pequeñas,452,0,18,0.856,0.18,0.233,0.526,0.516,0.39,0.697,0.425,0.086,0.204,0.73,0.282,2.8
2008,san jose,grandes,11,0,1,0.871,0.058,0.154,0.479,0.701,0.381,0.748,0.566,0.087,0.409,0.706,0.783,3
2008,san jose,medianas,56,0,0,0.871,0.058,0.154,0.479,0.701,0.381,0.748,0.566,0.087,0.409,0.706,0.783,3
2008,san jose,micro,2669,0,287,0.871,0.058,0.154,0.479,0.701,0.381,0.748,0.566,0.087,0.409,0.706,0.783,3
2008,san jose,pequeñas,424,0,9,0.871,0.058,0.154,0.479,0.701,0.381,0.748,0.566,0.087,0.409,0.706,0.783,3
2008,soriano,grandes,5,0,0,0.883,0.164,0.222,0.625,0.611,0.362,0.691,0.322,0.126,0.378,0.68,0.451,2.3
2008,soriano,medianas,52,0,0,0.883,0.164,0.222,0.625,0.611,0.362,0.691,0.322,0.126,0.378,0.68,0.451,2.3
2008,soriano,micro,2253,0,244,0.883,0.164,0.222,0.625,0.611,0.362,0.691,0.322,0.126,0.378,0.68,0.451,2.3
2008,soriano,pequeñas,393,0,11,0.883,0.164,0.222,0.625,0.611,0.362,0.691,0.322,0.126,0.378,0.68,0.451,2.3
2008,tacuarembo,grandes,5,0,0,0.813,0.131,0.196,0.489,0.48,0.362,0.678,0.379,0.058,0.237,0.71,0.236,2.1
2008,tacuarembo,medianas,38,0,1,0.813,0.131,0.196,0.489,0.48,0.362,0.678,0.379,0.058,0.237,0.71,0.236,2.1
2008,tacuarembo,micro,2020,0,266,0.813,0.131,0.196,0.489,0.48,0.362,0.678,0.379,0.058,0.237,0.71,0.236,2.1
2008,tacuarembo,pequeñas,326,0,11,0.813,0.131,0.196,0.489,0.48,0.362,0.678,0.379,0.058,0.237,0.71,0.236,2.1
2008,treinta y tres,grandes,4,0,0,0.853,0.139,0.228,0.402,0.4,0.4,0.422,0.362,0.043,0.196,0.597,0.009,1.4
2008,treinta y tres,medianas,20,0,2,0.853,0.139,0.228,0.402,0.4,0.4,0.422,0.362,0.043,0.196,0.597,0.009,1.4
2008,treinta y tres,micro,1196,0,147,0.853,0.139,0.228,0.402,0.4,0.4,0.422,0.362,0.043,0.196,0.597,0.009,1.4
