departamento;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Montevideo;49.8;51.1;51;50.3;50.8;50.1;50.5;50.4;50.5;49.8;49.1
Artigas;1.5;1.4;1.4;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Canelones;9.3;9.3;9.4;9.3;9.6;10;10.1;10.3;10.4;10.6;10.5
Cerro Largo;1.9;1.8;1.8;1.8;1.9;1.8;1.8;1.9;1.8;1.9;1.9
Colonia;5;5.2;4.7;4.7;4.7;4.8;4.7;4.9;4.8;4.8;4.9
Durazno;1.3;1.3;1.3;1.4;1.4;1.4;1.5;1.5;1.5;1.5;1.5
Flores;0.8;0.8;0.7;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.8
Florida;2;1.9;1.8;1.9;1.9;1.9;2;1.9;1.9;1.9;2
Lavalleja;1.7;1.6;1.6;1.7;1.6;1.6;1.6;1.6;1.6;1.6;1.6
Maldonado;5.2;5.4;5.5;5.5;5.6;5.6;5.5;5.4;5.5;5.7;5.7
Paysandú;2.8;2.9;2.7;2.9;2.9;2.7;2.6;2.6;2.6;2.7;2.7
Río Negro;3.2;2.3;2.9;2.6;2.3;2.3;2.2;2.3;2.1;2.1;2.6
Rivera;2.1;2;2.2;2.2;2.1;2.2;2.2;2.1;2.1;2.1;2.1
Rocha;1.8;1.8;1.8;1.9;1.9;1.9;1.9;1.8;1.8;1.9;1.9
Salto;2.8;2.8;2.8;2.8;2.7;2.7;2.7;2.7;2.7;2.7;2.7
San José;3;2.8;3;2.9;2.9;3.1;3.1;3;2.9;3;3.1
Soriano;2.3;2.4;2.2;2.5;2.4;2.5;2.2;2.1;2.2;2.1;2.2
Tacuarembó;2.1;1.9;2;2;1.9;1.9;2;2;2;2.1;2.1
Treinta y Tres;1.4;1.3;1.3;1.3;1.2;1.3;1.2;1.2;1.2;1.2;1.2
