anio,departamento,tamanio,sector,n_empresas,n_nacimientos,n_muertes,alfabetismo,accesos_a_estudios_terciarios,años_de_educacion_promedio,promocion_educacion_media_cb,pobreza,informalidad,desempleo_en_jovenes,gini,acceso_a_internet,ingresos_de_los_hogares,tasa_de_desempleo,porcentaje_de_personal_presupuestado_en_la_intendencia,part_act_econ
2008,Artigas,Micro,A,44,NA,8,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,B,27,NA,6,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,C,114,NA,21,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,D,1,NA,1,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,E,13,NA,4,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,F,28,NA,6,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,G,549,NA,58,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,H,187,NA,17,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,I,58,NA,9,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,J,29,NA,5,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,K,11,NA,2,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,L,9,NA,NA,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,M,81,NA,9,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,N,19,NA,4,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,P,26,NA,6,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,Q,30,NA,3,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,R,18,NA,5,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Artigas,Micro,S,109,NA,14,0.797,0.101,0.203,0.591,0.283,0.195,0.712,0.429,0.068,0.129,0.514,0.463,1.5
2008,Canelones,Micro,A,171,NA,29,0.91,0.22,0.274,0.44,0.684,0.455,0.662,0.432,0.169,0.355,0.63,0.347,9.3
2008,Canelones,Micro,B,21,NA,5,0.91,0.22,0.274,0.44,0.684,0.455,0.662,0.432,0.169,0.355,0.63,0.347,9.3
